Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
492,18,37,35.333333333333336,184.31578947368422,2.1666666666666665
493,18,37,35.611111111111114,184.31578947368422,2.1666666666666665
494,18,35,36.388888888888886,184.31578947368422,2.1666666666666665
495,18,34,36.611111111111114,184.31578947368422,2.1666666666666665
496,18,36,35.611111111111114,184.31578947368422,2.1666666666666665
497,17,36,37.35294117647059,180.5,2.2941176470588234
498,17,35,37.529411764705884,180.5,2.2941176470588234
499,16,33,41.5,180.85714285714286,2.1875
500,16,35,40.5,180.85714285714286,2.1875
501,16,34,40.8125,180.85714285714286,2.1875
502,16,35,40.4375,180.85714285714286,2.1875
503,16,36,40.125,180.85714285714286,2.1875
504,16,37,39.75,180.85714285714286,2.1875
505,16,37,40.0,180.85714285714286,2.1875
506,16,35,41.5,180.85714285714286,2.1875
507,16,35,41.8125,180.85714285714286,2.1875
508,16,37,40.875,180.85714285714286,2.1875
509,16,37,41.1875,180.85714285714286,2.1875
510,15,39,43.0,187.13636363636363,2.2666666666666666
511,15,37,44.666666666666664,187.13636363636363,2.2666666666666666
512,15,36,45.666666666666664,187.13636363636363,2.2666666666666666
513,15,36,46.06666666666667,187.13636363636363,2.2666666666666666
514,15,36,45.733333333333334,187.13636363636363,2.2666666666666666
515,15,34,47.4,187.13636363636363,2.2666666666666666
516,15,35,47.06666666666667,187.13636363636363,2.2666666666666666
517,15,33,48.8,187.13636363636363,2.2666666666666666
518,16,35,44.8125,187.13636363636363,2.25
519,16,36,44.5,187.13636363636363,2.25
520,16,37,44.1875,187.13636363636363,2.25
521,16,37,44.5,187.13636363636363,2.25
522,16,37,44.75,187.13636363636363,2.25
523,16,37,45.0,187.13636363636363,2.25
524,16,36,45.9375,187.13636363636363,2.25
525,17,36,43.470588235294116,187.13636363636363,2.235294117647059
526,18,37,40.72222222222222,187.13636363636363,2.2222222222222223
527,18,37,40.833333333333336,187.13636363636363,2.2222222222222223
528,18,37,40.94444444444444,187.13636363636363,2.2222222222222223
529,18,36,41.05555555555556,187.13636363636363,2.2222222222222223
530,18,34,42.27777777777778,187.13636363636363,2.2222222222222223
531,18,34,42.44444444444444,187.13636363636363,2.2222222222222223
532,18,33,43.166666666666664,187.13636363636363,2.2222222222222223
533,18,33,43.333333333333336,187.13636363636363,2.2222222222222223
534,18,34,42.888888888888886,187.13636363636363,2.2222222222222223
535,18,33,43.611111111111114,187.13636363636363,2.2222222222222223
536,18,32,44.388888888888886,187.13636363636363,2.2222222222222223
